StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,01,02,03,03a,04,04a,05,05a,05b,06,06a,07,08,09,09_10_TEXT,10,10a,11a,11b,11c,coursename,topic,cohort,version,link,prog,link2
2021-10-21 03:20:58,2021-10-21 03:24:08,IP Address,86.154.209.214,100,190,True,2021-10-21 03:24:09,R_TedLNBPhXO3Ic1P,,,,,51.887298583984375,0.863800048828125,anonymous,EN-GB,Very Satisfied,Staff,Fairly confident,,No,,Yes,I found the session very useful in understanding the basics of worksheet calculations. The moderators were very helpful with questions presented and demonstration of the exercises.,No,No,,Very good.,No.,"Digital Skills Lab: mailing list, previous session, website",,Yes,,online,,Due to current hybrid working arrangements.,Excel 1: Calculated WorksheetsÂ Â Â ,Excel,,21-22,,Prod,
2021-10-21 09:41:35,2021-10-21 09:48:35,IP Address,158.143.225.44,100,419,True,2021-10-21 09:48:37,R_3CDAksascpHzonb,,,,,51.5095062255859375,-0.0955047607421875,anonymous,EN-GB,Satisfied,Student,Fairly confident,,Yes,"I think starting with a basic introduction in terms of what data metrics we are looking at, and with what objective will help understand the tool better in terms of how we play around with the variables, and get the concepts right. ",No,,,No,,"Nice! ","All good, thanks for organising this! :) ","Digital Skills Lab: mailing list, previous session, website",,Yes,,in-person,"It aligned with my class schedule. ",,"Tableau 1: Introduction to Tableau ",Tableau,,21-22,https://lsecloud.sharepoint.com/:u:/s/TEAM_APD-DSL-Digital-Skills-Trainers/EW5FOLU5yPtAhwAdiaNsccMBmYyH2KzQjqPPsLy23C__UA?e=O08CHa,DS,
2021-10-21 09:59:12,2021-10-21 10:01:56,IP Address,151.225.234.83,100,163,True,2021-10-21 10:01:57,R_2YtAXj806LXVKkH,,,,,51.4730987548828125,-0.3437957763671875,anonymous,EN-GB,Very Satisfied,Student,Very confident,,No,,Yes,trainer was really good,Yes,Yes,if you could share/post about the materials,she was really kind and engaging,,"Digital Skills Lab: mailing list, previous session, website",,Yes,,online,,in person,"Tableau 1: Introduction to Tableau ",Tableau,,21-22,https://lsecloud.sharepoint.com/:u:/s/TEAM_APD-DSL-Digital-Skills-Trainers/EW5FOLU5yPtAhwAdiaNsccMBmYyH2KzQjqPPsLy23C__UA?e=O08CHa,DS,
2021-10-21 10:57:34,2021-10-21 10:58:55,IP Address,78.145.81.8,100,81,True,2021-10-21 10:58:56,R_2ByD3RJWxDAr7Vm,,,,,51.548492431640625,-0.2501068115234375,anonymous,EN-GB,Very Satisfied,Student,Very confident,,No,,No,,,No,,Very helpful!,,"Digital Skills Lab: mailing list, previous session, website",,Yes,,online,,Easier to attend.,Excel 2: Numeric Calculations   ,Excel,,21-22,,Prod,
2021-10-22 03:39:57,2021-10-22 03:42:47,IP Address,158.143.230.5,100,170,True,2021-10-22 03:42:49,R_ZrzZF0XlXikbtp7,,,,,51.5074005126953125,-0.119598388671875,anonymous,EN-GB,Satisfied,Student,Very confident,,No,,No,,,Yes,I feel like the pdf file was good but could be more clear - I was lost at first but couth up very quickly.,"Very good. ",Excel 1 is relatively easy.,"Digital Skills Lab: mailing list, previous session, website",,No,"Very easy - I guess its better for undergrads than post grads ",online,,The in person was full,Excel 1: Calculated Worksheets   ,Excel,,21-22,,Prod,
2021-10-22 03:38:30,2021-10-22 03:43:27,IP Address,188.28.120.176,100,297,True,2021-10-22 03:43:29,R_e4i5I727k46DyQF,,,,,51.5269012451171875,-0.0991058349609375,anonymous,EN-GB,Very Satisfied,Student,Very confident,,No,,Yes,I liked the layout of the task (very easy to use and to understand),Yes,No,,Very kind and helpful,,"Digital Skills Lab: mailing list, previous session, website",,Yes,,online,,there was only online,Python Fundamentals 1: Numerical Variables,Python,,21-22,https://lsecloud-my.sharepoint.com/:u:/g/personal/m_wiemers_lse_ac_uk/EXsaqVcPaK5Jq376apFBDNgBARdwUxpHm6Cn5qI088wLBw?e=UZ1ApE,DS,
2021-10-22 04:54:14,2021-10-22 04:55:03,IP Address,158.143.8.220,100,49,True,2021-10-22 04:55:05,R_2ahiieLoOvlUGo7,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,Very Satisfied,Student,Very confident,,No,,No,,,No,,Fantastic!,,LSE Website,,Yes,,in-person,,,Excel 2: Numeric Calculations   ,Excel,,21-22,,Prod,
2021-10-22 04:53:59,2021-10-22 04:55:30,IP Address,158.143.8.227,100,90,True,2021-10-22 04:55:32,R_24wwymjlqvj11I5,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,Very Satisfied,Staff,Very confident,,No,,Yes,Very clear instruction and help,Yes,No,,"Brilliant ",No,"Digital Skills Lab: mailing list, previous session, website",,Yes,,in-person,"I prefer face to face ",,Excel 2: Numeric Calculations   ,Excel,,21-22,,Prod,
2021-10-22 08:00:22,2021-10-22 08:02:08,IP Address,80.194.175.9,100,106,True,2021-10-22 08:02:09,R_1rBTMuJ7rrbRp6g,,,,,51.5435028076171875,-0.1732940673828125,anonymous,EN-GB,Very Satisfied,Student,Fairly confident,,No,,Yes,very helpful,Yes,Yes,maybe more time,,,LSE Website,,Yes,,online,,to develop my skills in excel,Excel 3: Essential Functions   ,Excel,,21-22,,Prod,
2021-10-22 07:59:36,2021-10-22 08:03:10,IP Address,158.143.104.207,100,214,True,2021-10-22 08:03:10,R_3PCcQGM1bsl54sw,,,,,51.5074005126953125,-0.119598388671875,anonymous,EN-GB,Very Satisfied,Student,Fairly confident,,No,,Yes,They know the excel,Yes,No,,Excellent,,"Digital Skills Lab: mailing list, previous session, website",,Yes,,online,,"I was supposed to attend the in-person workshop but it was cancelled ",Excel 3: Essential Functions   ,Excel,,21-22,,Prod,
2021-10-22 07:58:46,2021-10-22 08:11:51,IP Address,158.143.213.209,100,785,True,2021-10-22 08:11:53,R_1GWxQEY7O3gkJdU,,,,,51.5074005126953125,-0.119598388671875,anonymous,EN-GB,Satisfied,Student,Very confident,,No,,No,,,No,,Helpful,N/A,"Digital Skills Lab: mailing list, previous session, website",,Yes,,online,,The workshop was moved online.,Excel 3: Essential Functions   ,Excel,,21-22,,Prod,
2021-10-22 08:53:31,2021-10-22 08:56:36,IP Address,82.7.136.228,100,185,True,2021-10-22 08:56:37,R_21vzpaCCz3paat2,,,,,51.2825927734375,-0.08270263671875,anonymous,EN-GB,Very Satisfied,Student,Very confident,,No,,Yes,Really helpful and it was good to compare with a partner too!,Yes,No,,So helpful!,"No, thank you though!","Digital Skills Lab: mailing list, previous session, website",,Yes,,online,,"To do at home, and the in-person one was full",Excel 3: Essential Functions   ,Excel,,21-22,,Prod,
2021-10-22 08:53:27,2021-10-22 08:57:13,IP Address,86.15.10.53,100,226,True,2021-10-22 08:57:14,R_1jlmqfQEbUaoc8g,,,,,51.3997039794921875,-0.251495361328125,anonymous,EN-GB,Very Satisfied,Staff,Fairly confident,,No,,Yes,The pace of the session was great and the instructor was super encouraging. I was worried I'd be out of my depth but felt very supported.,Yes,No,,"Great- clear and friendly. ",The length of the session is perfect. Fits into the day and isn't overwhelmingly long.,"Digital Skills Lab: mailing list, previous session, website",,Yes,,online,,"It was on a working from home day, and I'm more comfortable learning in my own space than in a room full of other people. ",Excel 3: Essential Functions   ,Excel,,21-22,,Prod,
2021-10-18 01:52:24,2021-10-18 01:58:43,IP Address,154.57.244.127,87,378,False,2021-10-25 01:58:47,R_24jxOW2YqMXcwfw,,,,,,,anonymous,EN-GB,Very Satisfied,Student,Very confident,,Yes,test,Yes,tes,Yes,Yes,test,test,test,"Other, please describe:",test,Yes,,in-person,test,,"Stata Fundamentals 1: Import and inspecting data ",Stata,,21-22,https://lsecloud-my.sharepoint.com/:u:/g/personal/m_wiemers_lse_ac_uk/EXsaqVcPaK5Jq376apFBDNgBARdwUxpHm6Cn5qI088wLBw?e=UZ1ApE,SR,
2021-10-25 06:40:26,2021-10-25 06:42:10,IP Address,158.143.215.6,100,103,True,2021-10-25 06:42:10,R_28NYH0RWCDJYqfS,,,,,51.5269012451171875,-0.0991058349609375,anonymous,EN-GB,Very Satisfied,Student,Fairly confident,,No,,Yes,"Great structure, provides the chance to work through and practice. ",Yes,No,,"Great, explaining things clearly and concisely. Happy to help!",n/A,"Digital Skills Lab: mailing list, previous session, website",,Yes,,in-person,"More personal experience, forces me to go too",,"Tableau 1: Introduction to Tableau ",Tableau,,21-22,https://lsecloud.sharepoint.com/:u:/s/TEAM_APD-DSL-Digital-Skills-Trainers/EW5FOLU5yPtAhwAdiaNsccMBmYyH2KzQjqPPsLy23C__UA?e=O08CHa,DS,
2021-10-25 06:47:59,2021-10-25 06:50:52,IP Address,158.143.124.222,100,173,True,2021-10-25 06:50:52,R_2chyXc2NshqzHNb,,,,,51.4980926513671875,-0.088592529296875,anonymous,EN-GB,Very Satisfied,Student,Very confident,,No,,Yes,,,No,,,,"Digital Skills Lab: mailing list, previous session, website",,Yes,,in-person,It is much easier to learn by asking live quesitons,,"Tableau 1: Introduction to Tableau ",Tableau,,21-22,https://lsecloud.sharepoint.com/:u:/s/TEAM_APD-DSL-Digital-Skills-Trainers/EW5FOLU5yPtAhwAdiaNsccMBmYyH2KzQjqPPsLy23C__UA?e=O08CHa,DS,
2021-10-25 06:57:31,2021-10-25 07:00:01,IP Address,87.75.126.99,100,149,True,2021-10-25 07:00:03,R_1rH8Eoq3S3uhX1O,,,,,53.4420928955078125,-2.153594970703125,anonymous,EN-GB,Very Satisfied,Staff,Fairly confident,,No,,Yes,"Very helpful, friendly and patient staff ",Yes,No,,"Great, very helpful",no,"Digital Skills Lab: mailing list, previous session, website",,Yes,,online,,Only because I was working from home today but would love to attend in person next time I am in the office,PowerPoint 1: Designing Slides   ,PowerPoint,,21-22,,Prod,
2021-10-25 08:53:26,2021-10-25 08:55:05,IP Address,78.33.32.18,100,99,True,2021-10-25 08:55:05,R_AgkRKWfQkvNAQLL,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,Very Satisfied,Student,Fairly confident,,No,,No,,,No,,great,N/A,LSE Website,,Yes,,online,,easier to attend,"R Fundamentals 1: Numerical Variables ",R,,21-22,https://lsecloud.sharepoint.com/:f:/s/TEAM_APD-DSL-Digital-Skills-Trainers/Emxx38xoB5FPvabJPeYBPrsBG7sNbQ5NANkCTRnPVPKtbg?e=MCYCbp,DS,
2021-10-25 08:56:31,2021-10-25 08:57:59,IP Address,158.143.192.23,100,88,True,2021-10-25 08:57:59,R_2fqSryyy7ynHhUG,,,,,51.4980926513671875,-0.088592529296875,anonymous,EN-GB,Satisfied,Student,Fairly confident,,No,,Yes,The exercises were helpful.,Yes,No,,,,"Digital Skills Lab: mailing list, previous session, website",,Yes,,online,,The schedule doesn't match.,"R Fundamentals 1: Numerical Variables ",R,,21-22,https://lsecloud.sharepoint.com/:f:/s/TEAM_APD-DSL-Digital-Skills-Trainers/Emxx38xoB5FPvabJPeYBPrsBG7sNbQ5NANkCTRnPVPKtbg?e=MCYCbp,DS,
2021-10-25 08:55:19,2021-10-25 09:00:13,IP Address,95.145.4.192,100,293,True,2021-10-25 09:00:13,R_1ikXZstvyZX7tR9,,,,,51.5435028076171875,-0.1732940673828125,anonymous,EN-GB,Very Satisfied,Student,Fairly confident,,No,,Yes,pairing with another student and doing activity together was really good way to learn because we can cooperate and learn more by ourselves.,Yes,No,,"tutor was very considerable and had a good tactic to teach. ",it was so nice experience and not hard as my expectation. I think the context in class was also helpful to do activities.,Recommended by a friend/colleague,,Yes,,online,,I'm usually no go on campus on Monday and want to save my time as Online workshop don't need time to move to other places.,R,,,,,,
2021-10-25 09:52:26,2021-10-25 09:53:25,IP Address,158.143.8.233,100,59,True,2021-10-25 09:53:27,R_1gutmIZHZFiC7IW,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,Satisfied,Student,Not very confident,,No,,No,,,No,,,,LSE Website,,Yes,,in-person,Much easier to follow and ask questions,,PowerPoint 1: Designing Slides   ,PowerPoint,,21-22,,Prod,
2021-10-25 09:57:26,2021-10-25 09:58:31,IP Address,158.143.8.150,100,65,True,2021-10-25 09:58:32,R_ZysumkB9uZ63LRT,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,Very Satisfied,Student,Very confident,,No,,No,,,No,,"Very helpful ",,Recommended by a friend/colleague,,Yes,,in-person,,,PowerPoint 1: Designing Slides   ,PowerPoint,,21-22,,Prod,
2021-10-25 09:56:31,2021-10-25 09:58:51,IP Address,158.143.8.153,100,139,True,2021-10-25 09:58:51,R_2VJvf6ur0ZLomb0,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,Satisfied,Student,Fairly confident,,No,,Yes,It was a comfortable environment,Yes,Yes,"It would be easier if it was a live tutorial as we all complete it together. ",very helpful,,LSE Website,,Yes,,in-person,Didn't know that there was an online option.,,PowerPoint 1: Designing Slides   ,PowerPoint,,21-22,,Prod,
2021-10-18 09:59:44,2021-10-18 10:03:58,IP Address,158.143.210.125,87,253,False,2021-10-25 10:03:58,R_SZ4jIQUhLM9dKlX,,,,,,,anonymous,EN-GB,Satisfied,Student,Fairly confident,,No,,No,,,No,,,,"Digital Skills Lab: mailing list, previous session, website",,Yes,,online,,,"R Fundamentals 1: Numerical Variables ",R,,21-22,https://apps.lse.ac.uk/training-system/userBooking/course/9483054,DS,
2021-10-25 11:29:56,2021-10-25 11:52:20,IP Address,158.143.8.233,100,1343,True,2021-10-25 11:52:21,R_1esKtoADntuME1Q,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,Very Satisfied,Student,Very confident,,No,,Yes,"Great one on one tutorial and also, great tutors who explain everything in depth for you",Yes,No,,excellent,n/a,"Digital Skills Lab: mailing list, previous session, website",,Yes,,in-person,"The in-person class provides excellent avenues for asking questions and getting understanding quicker and seamlessly. ",,Excel 3: Essential Functions   ,Excel,,21-22,,Prod,
2021-10-25 11:53:41,2021-10-25 11:54:48,IP Address,158.143.8.150,100,66,True,2021-10-25 11:54:48,R_3no6QvYCTl3CrD3,,,,,51.502593994140625,-0.0659942626953125,anonymous,EN-GB,Very Satisfied,Student,Very confident,,No,,No,,,No,,very helpful,no,"Digital Skills Lab: mailing list, previous session, website",,Yes,,in-person,,,Excel 3: Essential Functions   ,Excel,,21-22,,Prod,
2021-10-25 11:58:43,2021-10-25 12:00:47,IP Address,82.132.232.98,100,123,True,2021-10-25 12:00:47,R_2RO1eh7thH21KtK,,,,,51.648406982421875,-0.49310302734375,anonymous,EN-GB,Satisfied,Student,Fairly confident,,No,,Yes,The trainer is friendly and the course was collaborative and fun,No,No,,Good. Supportive and friendly,No,"Digital Skills Lab: mailing list, previous session, website",,Yes,,online,,Timing of the workshops were better online,"R Fundamentals 4: Data Frames ",R,,21-22,https://lsecloud.sharepoint.com/:f:/s/TEAM_APD-DSL-Digital-Skills-Trainers/Eq8J0o5HZ2hEhHyfOK_Y8PoBqeKPeb-zo52bUZkCsSUfwg?e=izxDVe,DS,
