 country 	 continent 	 subject 	1952	1957	1962	1967	1972	1977	1982	1987	1992	1997	2002	2007
 Burkina Faso 	 Africa 	 Life expectancy 	31.98	34.91	37.81	40.7	43.59	46.14	48.12	49.56	50.26	50.32	50.65	52.3
 Burkina Faso 	 Africa 	 Population 	"4,469,979.00"	"4,713,416.00"	"4,919,632.00"	"5,127,935.00"	"5,433,886.00"	"5,889,574.00"	"6,634,596.00"	"7,586,551.00"	"8,878,303.00"	"10,352,843.00"	"12,251,209.00"	"14,326,203.00"
 Burundi 	 Africa 	" Gross domestic product per capita, constant prices "	339.3	379.56	355.2	412.98	464.1	556.1	559.6	621.82	631.7	463.12	446.4	430.07
 Burundi 	 Africa 	 Life expectancy 	39.03	40.53	42.05	43.55	44.06	45.91	47.47	48.21	44.74	45.33	47.36	49.58
 Burundi 	 Africa 	 Population 	"2,445,618.00"	"2,667,518.00"	"2,961,915.00"	"3,330,989.00"	"3,529,983.00"	"3,834,415.00"	"4,580,410.00"	"5,126,023.00"	"5,809,236.00"	"6,121,610.00"	"7,021,078.00"	"8,390,505.00"
 Cambodia 	 Asia 	" Gross domestic product per capita, constant prices "	368.47	434.04	496.91	523.43	421.62	524.97	624.48	683.9	682.3	734.29	896.23	"1,713.78"
 Cambodia 	 Asia 	 Life expectancy 	39.42	41.37	43.42	45.42	40.32	31.22	50.96	53.91	55.8	56.53	56.75	59.72
 Cambodia 	 Asia 	 Population 	"4,693,836.00"	"5,322,536.00"	"6,083,619.00"	"6,960,067.00"	"7,450,606.00"	"6,978,607.00"	"7,272,485.00"	"8,371,791.00"	"10,150,094.00"	"11,782,962.00"	"12,926,707.00"	"14,131,858.00"
 Cameroon 	 Africa 	" Gross domestic product per capita, constant prices "	"1,172.67"	"1,313.05"	"1,399.61"	"1,508.45"	"1,684.15"	"1,783.43"	"2,367.98"	"2,602.66"	"1,793.16"	"1,694.34"	"1,934.01"	"2,042.10"
 Cameroon 	 Africa 	 Life expectancy 	38.52	40.43	42.64	44.8	47.05	49.36	52.96	54.99	54.31	52.2	49.86	50.43
 Cameroon 	 Africa 	 Population 	"5,009,067.00"	"5,359,923.00"	"5,793,633.00"	"6,335,506.00"	"7,021,028.00"	"7,959,865.00"	"9,250,831.00"	"10,780,667.00"	"12,467,171.00"	"14,195,809.00"	"15,929,988.00"	"17,696,293.00"
 Canada 	 Americas 	" Gross domestic product per capita, constant prices "	"11,367.16"	"12,489.95"	"13,462.49"	"16,076.59"	"18,970.57"	"22,090.88"	"22,898.79"	"26,626.52"	"26,342.88"	"28,954.93"	"33,328.97"	"36,319.24"
 Canada 	 Americas 	 Life expectancy 	68.75	69.96	71.3	72.13	72.88	74.21	75.76	76.86	77.95	78.61	79.77	80.65
 Canada 	 Americas 	 Population 	"14,785,584.00"	"17,010,154.00"	"18,985,849.00"	"20,819,767.00"	"22,284,500.00"	"23,796,400.00"	"25,201,900.00"	"26,549,700.00"	"28,523,502.00"	"30,305,843.00"	"31,902,268.00"	"33,390,141.00"
 Central African Republic 	 Africa 	" Gross domestic product per capita, constant prices "	"1,071.31"	"1,190.84"	"1,193.07"	"1,136.06"	"1,070.01"	"1,109.37"	956.75	844.88	747.91	740.51	738.69	706.02
 Central African Republic 	 Africa 	 Life expectancy 	35.46	37.46	39.48	41.48	43.46	46.78	48.3	50.49	49.4	46.07	43.31	44.74
 Central African Republic 	 Africa 	 Population 	"1,291,695.00"	"1,392,284.00"	"1,523,478.00"	"1,733,638.00"	"1,927,260.00"	"2,167,533.00"	"2,476,971.00"	"2,840,009.00"	"3,265,124.00"	"3,696,513.00"	"4,048,013.00"	"4,369,038.00"
 Chad 	 Africa 	" Gross domestic product per capita, constant prices "	"1,178.67"	"1,308.50"	"1,389.82"	"1,196.81"	"1,104.10"	"1,133.98"	797.91	952.39	"1,058.06"	"1,004.96"	"1,156.18"	"1,704.06"
 Chad 	 Africa 	 Life expectancy 	38.09	39.88	41.72	43.6	45.57	47.38	49.52	51.05	51.72	51.57	50.53	50.65
 Chad 	 Africa 	 Population 	"2,682,462.00"	"2,894,855.00"	"3,150,417.00"	"3,495,967.00"	"3,899,068.00"	"4,388,260.00"	"4,875,118.00"	"5,498,955.00"	"6,429,417.00"	"7,562,011.00"	"8,835,739.00"	"10,238,807.00"
 Chile 	 Americas 	" Gross domestic product per capita, constant prices "	"3,939.98"	"4,315.62"	"4,519.09"	"5,106.65"	"5,494.02"	"4,756.76"	"5,095.67"	"5,547.06"	"7,596.13"	"10,118.05"	"10,778.78"	"13,171.64"
 Chile 	 Americas 	 Life expectancy 	54.75	56.07	57.92	60.52	63.44	67.05	70.57	72.49	74.13	75.82	77.86	78.55
 Chile 	 Americas 	 Population 	"6,377,619.00"	"7,048,426.00"	"7,961,258.00"	"8,858,908.00"	"9,717,524.00"	"10,599,793.00"	"11,487,112.00"	"12,463,354.00"	"13,572,994.00"	"14,599,929.00"	"15,497,046.00"	"16,284,741.00"
 China 	 Asia 	" Gross domestic product per capita, constant prices "	400.45	575.99	487.67	612.71	676.9	741.24	962.42	"1,378.90"	"1,655.78"	"2,289.23"	"3,119.28"	"4,959.11"
 China 	 Asia 	 Life expectancy 	44	50.55	44.5	58.38	63.12	63.97	65.53	67.27	68.69	70.43	72.03	72.96
 China 	 Asia 	 Population 	"556,263,527.00"	"637,408,000.00"	"665,770,000.00"	"754,550,000.00"	"862,030,000.00"	"943,455,000.00"	"1,000,281,000.00"	"1,084,035,000.00"	"1,164,970,000.00"	"1,230,075,000.00"	"1,280,400,000.00"	"1,318,683,096.00"
 Colombia 	 Americas 	" Gross domestic product per capita, constant prices "	"2,144.12"	"2,323.81"	"2,492.35"	"2,678.73"	"3,264.66"	"3,815.81"	"4,397.58"	"4,903.22"	"5,444.65"	"6,117.36"	"5,755.26"	"7,006.58"
 Colombia 	 Americas 	 Life expectancy 	50.64	55.12	57.86	59.96	61.62	63.84	66.65	67.77	68.42	70.31	71.68	72.89
 Colombia 	 Americas 	 Population 	"12,350,771.00"	"14,485,993.00"	"17,009,885.00"	"19,764,027.00"	"22,542,890.00"	"25,094,412.00"	"27,764,644.00"	"30,964,245.00"	"34,202,721.00"	"37,657,830.00"	"41,008,227.00"	"44,227,550.00"
 Comoros 	 Africa 	" Gross domestic product per capita, constant prices "	"1,102.99"	"1,211.15"	"1,406.65"	"1,876.03"	"1,937.58"	"1,172.60"	"1,267.10"	"1,315.98"	"1,246.91"	"1,173.62"	"1,075.81"	986.15
 Comoros 	 Africa 	 Life expectancy 	40.72	42.46	44.47	46.47	48.94	50.94	52.93	54.93	57.94	60.66	62.97	65.15
 Comoros 	 Africa 	 Population 	"153,936.00"	"170,928.00"	"191,689.00"	"217,378.00"	"250,027.00"	"304,739.00"	"348,643.00"	"395,114.00"	"454,429.00"	"527,982.00"	"614,382.00"	"710,960.00"
" Congo, Dem. Rep. "	 Africa 	" Gross domestic product per capita, constant prices "	780.54	905.86	896.31	861.59	904.9	795.76	673.75	672.77	457.72	312.19	241.17	277.55
" Congo, Dem. Rep. "	 Africa 	 Life expectancy 	39.14	40.65	42.12	44.06	45.99	47.8	47.78	47.41	45.55	42.59	44.97	46.46
" Congo, Dem. Rep. "	 Africa 	 Population 	"14,100,005.00"	"15,577,932.00"	"17,486,434.00"	"19,941,073.00"	"23,007,669.00"	"26,480,870.00"	"30,646,495.00"	"35,481,645.00"	"41,672,143.00"	"47,798,986.00"	"55,379,852.00"	"64,606,759.00"
" Congo, Rep. "	 Africa 	" Gross domestic product per capita, constant prices "	"2,125.62"	"2,315.06"	"2,464.78"	"2,677.94"	"3,213.15"	"3,259.18"	"4,879.51"	"4,201.19"	"4,016.24"	"3,484.16"	"3,484.06"	"3,632.56"
" Congo, Rep. "	 Africa 	 Life expectancy 	42.11	45.05	48.44	52.04	54.91	55.63	56.7	57.47	56.43	52.96	52.97	55.32
" Congo, Rep. "	 Africa 	 Population 	"854,885.00"	"940,458.00"	"1,047,924.00"	"1,179,760.00"	"1,340,458.00"	"1,536,769.00"	"1,774,735.00"	"2,064,095.00"	"2,409,073.00"	"2,800,947.00"	"3,328,795.00"	"3,800,610.00"
 Costa Rica 	 Americas 	" Gross domestic product per capita, constant prices "	"2,627.01"	"2,990.01"	"3,460.94"	"4,161.73"	"5,118.15"	"5,926.88"	"5,262.73"	"5,629.92"	"6,160.42"	"6,677.05"	"7,723.45"	"9,645.06"
 Costa Rica 	 Americas 	 Life expectancy 	57.21	60.03	62.84	65.42	67.85	70.75	73.45	74.75	75.71	77.26	78.12	78.78
 Costa Rica 	 Americas 	 Population 	"926,317.00"	"1,112,300.00"	"1,345,187.00"	"1,588,717.00"	"1,834,796.00"	"2,108,457.00"	"2,424,367.00"	"2,799,811.00"	"3,173,216.00"	"3,518,107.00"	"3,834,934.00"	"4,133,884.00"
 Cote d'Ivoire 	 Africa 	" Gross domestic product per capita, constant prices "	"1,388.59"	"1,500.90"	"1,728.87"	"2,052.05"	"2,378.20"	"2,517.74"	"2,602.71"	"2,156.96"	"1,648.07"	"1,786.27"	"1,648.80"	"1,544.75"
 Cote d'Ivoire 	 Africa 	 Life expectancy 	40.48	42.47	44.93	47.35	49.8	52.37	53.98	54.66	52.04	47.99	46.83	48.33
 Cote d'Ivoire 	 Africa 	 Population 	"2,977,019.00"	"3,300,000.00"	"3,832,408.00"	"4,744,870.00"	"6,071,696.00"	"7,459,574.00"	"9,025,951.00"	"10,761,098.00"	"12,772,596.00"	"14,625,967.00"	"16,252,726.00"	"18,013,409.00"
 Croatia 	 Europe 	" Gross domestic product per capita, constant prices "	"3,119.24"	"4,338.23"	"5,477.89"	"6,960.30"	"9,164.09"	"11,305.39"	"13,221.82"	"13,822.58"	"8,447.79"	"9,875.60"	"11,628.39"	"14,619.22"
 Croatia 	 Europe 	 Life expectancy 	61.21	64.77	67.13	68.5	69.61	70.64	70.46	71.52	72.53	73.68	74.88	75.75
 Croatia 	 Europe 	 Population 	"3,882,229.00"	"3,991,242.00"	"4,076,557.00"	"4,174,366.00"	"4,225,310.00"	"4,318,673.00"	"4,413,368.00"	"4,484,310.00"	"4,494,013.00"	"4,444,595.00"	"4,481,020.00"	"4,493,312.00"
 Cuba 	 Americas 	" Gross domestic product per capita, constant prices "	"5,586.54"	"6,092.17"	"5,180.76"	"5,690.27"	"5,305.45"	"6,380.49"	"7,316.92"	"7,532.92"	"5,592.84"	"5,431.99"	"6,340.65"	"8,948.10"
 Cuba 	 Americas 	 Life expectancy 	59.42	62.33	65.25	68.29	70.72	72.65	73.72	74.17	74.41	76.15	77.16	78.27
 Cuba 	 Americas 	 Population 	"6,007,797.00"	"6,640,752.00"	"7,254,373.00"	"8,139,332.00"	"8,831,348.00"	"9,537,988.00"	"9,789,224.00"	"10,239,839.00"	"10,723,260.00"	"10,983,007.00"	"11,226,999.00"	"11,416,987.00"
 Czech Republic 	 Europe 	" Gross domestic product per capita, constant prices "	"6,876.14"	"8,256.34"	"10,136.87"	"11,399.44"	"13,108.45"	"14,800.16"	"15,377.23"	"16,310.44"	"14,297.02"	"16,048.51"	"17,596.21"	"22,833.31"
 Czech Republic 	 Europe 	 Life expectancy 	66.87	69.03	69.9	70.38	70.29	70.71	70.96	71.58	72.4	74.01	75.51	76.49
 Czech Republic 	 Europe 	 Population 	"9,125,183.00"	"9,513,758.00"	"9,620,282.00"	"9,835,109.00"	"9,862,158.00"	"10,161,915.00"	"10,303,704.00"	"10,311,597.00"	"10,315,702.00"	"10,300,707.00"	"10,256,295.00"	"10,228,744.00"
 Denmark 	 Europe 	" Gross domestic product per capita, constant prices "	"9,692.39"	"11,099.66"	"13,583.31"	"15,937.21"	"18,866.21"	"20,422.90"	"21,688.04"	"25,116.18"	"26,406.74"	"29,804.35"	"32,166.50"	"35,278.42"
 Denmark 	 Europe 	 Life expectancy 	70.78	71.81	72.35	72.96	73.47	74.69	74.63	74.8	75.33	76.11	77.18	78.33
 Denmark 	 Europe 	 Population 	"4,334,000.00"	"4,487,831.00"	"4,646,899.00"	"4,838,800.00"	"4,991,596.00"	"5,088,419.00"	"5,117,810.00"	"5,127,024.00"	"5,171,393.00"	"5,283,663.00"	"5,374,693.00"	"5,468,120.00"
 Djibouti 	 Africa 	" Gross domestic product per capita, constant prices "	"2,669.53"	"2,864.97"	"3,020.99"	"3,020.05"	"3,694.21"	"3,081.76"	"2,879.47"	"2,880.10"	"2,377.16"	"1,895.02"	"1,908.26"	"2,082.48"
 Djibouti 	 Africa 	 Life expectancy 	34.81	37.33	39.69	42.07	44.37	46.52	48.81	50.04	51.6	53.16	53.37	54.79
 Djibouti 	 Africa 	 Population 	"63,149.00"	"71,851.00"	"89,898.00"	"127,617.00"	"178,848.00"	"228,694.00"	"305,991.00"	"311,025.00"	"384,156.00"	"417,908.00"	"447,416.00"	"496,374.00"
 Dominican Republic 	 Americas 	" Gross domestic product per capita, constant prices "	"1,397.72"	"1,544.40"	"1,662.14"	"1,653.72"	"2,189.87"	"2,681.99"	"2,861.09"	"2,899.84"	"3,044.21"	"3,614.10"	"4,563.81"	"6,025.37"
 Dominican Republic 	 Americas 	 Life expectancy 	45.93	49.83	53.46	56.75	59.63	61.79	63.73	66.05	68.46	69.96	70.85	72.24
 Dominican Republic 	 Americas 	 Population 	"2,491,346.00"	"2,923,186.00"	"3,453,434.00"	"4,049,146.00"	"4,671,329.00"	"5,302,800.00"	"5,968,349.00"	"6,655,297.00"	"7,351,181.00"	"7,992,357.00"	"8,650,322.00"	"9,319,622.00"
 Ecuador 	 Americas 	" Gross domestic product per capita, constant prices "	"3,522.11"	"3,780.55"	"4,086.11"	"4,579.07"	"5,280.99"	"6,679.62"	"7,213.79"	"6,481.78"	"7,103.70"	"7,429.46"	"5,773.04"	"6,873.26"
 Ecuador 	 Americas 	 Life expectancy 	48.36	51.36	54.64	56.68	58.8	61.31	64.34	67.23	69.61	72.31	74.17	74.99
 Ecuador 	 Americas 	 Population 	"3,548,753.00"	"4,058,385.00"	"4,681,707.00"	"5,432,424.00"	"6,298,651.00"	"7,278,866.00"	"8,365,850.00"	"9,545,158.00"	"10,748,394.00"	"11,911,819.00"	"12,921,234.00"	"13,755,680.00"
 Egypt 	 Africa 	" Gross domestic product per capita, constant prices "	"1,418.82"	"1,458.92"	"1,693.34"	"1,814.88"	"2,024.01"	"2,785.49"	"3,503.73"	"3,885.46"	"3,794.76"	"4,173.18"	"4,754.60"	"5,581.18"
 Egypt 	 Africa 	 Life expectancy 	41.89	44.44	46.99	49.29	51.14	53.32	56.01	59.8	63.67	67.22	69.81	71.34
 Egypt 	 Africa 	 Population 	"22,223,309.00"	"25,009,741.00"	"28,173,309.00"	"31,681,188.00"	"34,807,417.00"	"38,783,863.00"	"45,681,811.00"	"52,799,062.00"	"59,402,198.00"	"66,134,291.00"	"73,312,559.00"	"80,264,543.00"
 El Salvador 	 Americas 	" Gross domestic product per capita, constant prices "	"3,048.30"	"3,421.52"	"3,776.80"	"4,358.60"	"4,520.25"	"5,138.92"	"4,098.34"	"4,140.44"	"4,444.23"	"5,154.83"	"5,351.57"	"5,728.35"
 El Salvador 	 Americas 	 Life expectancy 	45.26	48.57	52.31	55.86	58.21	56.7	56.6	63.15	66.8	69.54	70.73	71.88
 El Salvador 	 Americas 	 Population 	"2,042,865.00"	"2,355,805.00"	"2,747,687.00"	"3,232,927.00"	"3,790,903.00"	"4,282,586.00"	"4,474,873.00"	"4,842,194.00"	"5,274,649.00"	"5,783,439.00"	"6,353,681.00"	"6,939,688.00"
 Equatorial Guinea 	 Africa 	" Gross domestic product per capita, constant prices "	375.64	426.1	582.84	915.6	672.41	958.57	927.83	966.9	"1,132.06"	"2,814.48"	"7,703.50"	"12,154.09"
 Equatorial Guinea 	 Africa 	 Life expectancy 	34.48	35.98	37.49	38.99	40.52	42.02	43.66	45.66	47.55	48.25	49.35	51.58
 Equatorial Guinea 	 Africa 	 Population 	"216,964.00"	"232,922.00"	"249,220.00"	"259,864.00"	"277,603.00"	"192,675.00"	"285,483.00"	"341,244.00"	"387,838.00"	"439,971.00"	"495,627.00"	"551,201.00"
 Eritrea 	 Africa 	" Gross domestic product per capita, constant prices "	328.94	344.16	381	468.79	514.32	505.75	524.88	521.13	582.86	913.47	765.35	641.37
 Eritrea 	 Africa 	 Life expectancy 	35.93	38.05	40.16	42.19	44.14	44.54	43.89	46.45	49.99	53.38	55.24	58.04
 Eritrea 	 Africa 	 Population 	"1,438,760.00"	"1,542,611.00"	"1,666,618.00"	"1,820,319.00"	"2,260,187.00"	"2,512,642.00"	"2,637,297.00"	"2,915,959.00"	"3,668,440.00"	"4,058,319.00"	"4,414,865.00"	"4,906,585.00"
 Ethiopia 	 Africa 	" Gross domestic product per capita, constant prices "	362.15	378.9	419.46	516.12	566.24	556.81	577.86	573.74	421.35	515.89	530.05	690.81
 Ethiopia 	 Africa 	 Life expectancy 	34.08	36.67	40.06	42.12	43.52	44.51	44.92	46.68	48.09	49.4	50.73	52.95
