Hour (Coded),Immobilized bus,Broken Truck,Vehicle excess,Accident victim,Running over,Fire vehicles,Occurrence involving freight,Incident involving dangerous freight,Lack of electricity,Fire,Point of flooding,Manifestations,Defect in the network of trolleybuses,Tree on the road,Semaphore off,Intermittent Semaphore,Slowness in traffic (%),Hour,Day
3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.3,8:00,WEDNESDAY
4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5.9,8:30,WEDNESDAY
5,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7.0,9:00,WEDNESDAY
6,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.4,9:30,WEDNESDAY
7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.2,10:00,WEDNESDAY
8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.5,10:30,WEDNESDAY
9,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6.7,11:00,WEDNESDAY
10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.7,11:30,WEDNESDAY
11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,12:00,WEDNESDAY
12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.2,12:30,WEDNESDAY
13,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8.0,13:00,WEDNESDAY
14,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,6.2,13:30,WEDNESDAY
15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.8,14:00,WEDNESDAY
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,14:30,WEDNESDAY
17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.2,15:00,WEDNESDAY
18,2,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10.1,15:30,WEDNESDAY
19,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,12.2,16:00,WEDNESDAY
20,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,13.9,16:30,WEDNESDAY
21,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,15.0,17:00,WEDNESDAY
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17.1,17:30,WEDNESDAY
23,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.6,18:00,WEDNESDAY
24,0,1,0,0,0,0,0,0,2,0,3,0,0,0,1,0,20.2,18:30,WEDNESDAY
25,1,3,0,2,0,0,0,0,4,0,1,0,0,0,4,0,22.6,19:00,WEDNESDAY
26,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,23.4,19:30,WEDNESDAY
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,20:00,WEDNESDAY
1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4.0,7:00,THURSDAY
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0,7:30,THURSDAY
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.7,8:00,THURSDAY
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,8:30,THURSDAY
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,9:00,THURSDAY
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,9:30,THURSDAY
7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7.6,10:00,THURSDAY
8,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,6.6,10:30,THURSDAY
9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,11:00,THURSDAY
10,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,7.7,11:30,THURSDAY
11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.7,12:00,THURSDAY
12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,12:30,THURSDAY
13,2,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,10.1,13:00,THURSDAY
14,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,13:30,THURSDAY
15,1,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,11.4,14:00,THURSDAY
16,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.5,14:30,THURSDAY
17,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12.1,15:00,THURSDAY
18,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.5,15:30,THURSDAY
19,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.9,16:00,THURSDAY
20,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.1,16:30,THURSDAY
21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1,17:00,THURSDAY
22,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13.7,17:30,THURSDAY
23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6,18:00,THURSDAY
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3,18:30,THURSDAY
25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9,19:00,THURSDAY
26,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,21.5,19:30,THURSDAY
27,0,3,0,1,0,0,0,0,1,0,7,0,2,0,1,0,22.1,20:00,THURSDAY
1,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,3.4,7:00,FRIDAY
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0,7:30,FRIDAY
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,8:00,FRIDAY
4,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,6.4,8:30,FRIDAY
5,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,8.2,9:00,FRIDAY
6,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,9.0,9:30,FRIDAY
7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,10:00,FRIDAY
8,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10.3,10:30,FRIDAY
9,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.9,11:00,FRIDAY
10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,11:30,FRIDAY
11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,12:00,FRIDAY
12,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,12:30,FRIDAY
13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.0,13:00,FRIDAY
14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.7,13:30,FRIDAY
15,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,10.3,14:00,FRIDAY
16,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10.9,14:30,FRIDAY
17,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.9,15:00,FRIDAY
18,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9.4,15:30,FRIDAY
19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11.3,16:00,FRIDAY
20,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,13.0,16:30,FRIDAY
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,17:00,FRIDAY
22,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,17.4,17:30,FRIDAY
23,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,17.8,18:00,FRIDAY
24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18.1,18:30,FRIDAY
25,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17.7,19:00,FRIDAY
26,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,17.4,19:30,FRIDAY
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1,20:00,FRIDAY
