country,continent,subject,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15
 Brazil , Americas ," Gross domestic product per capita, constant prices ",,2487.37,3336.59,3429.86,4985.71,6660.12,7030.84,7807.1,6950.28,7957.98,8131.21,9065.799999999999
 Brazil , Americas , Life expectancy ,50.92,53.29,55.67,57.63,59.5,61.49,63.34,65.20999999999999,67.06,69.39,71.01000000000001,72.39
 Brazil , Americas , Population ,,65551171,76039390,88049823,100840058,114313951,128962939,142938076,155975974,168546719,179914212,190010647
 Bulgaria , Europe ," Gross domestic product per capita, constant prices ",,3008.67,4254.34,5577,6597.49,7612.24,8224.190000000001,8239.85,6302.62,5970.39,7696.78,10680.79
 Bulgaria , Europe , Life expectancy ,59.6,66.61,69.51000000000001,70.42,70.90000000000001,70.81,71.08,71.34,71.19,70.31999999999999,72.14,73.01000000000001
 Bulgaria , Europe , Population ,,7651254,8012946,8310226,8576200,8797022,8892098,8971958,8658506,8066057,7661799,7322858
 Burkina Faso , Africa ," Gross domestic product per capita, constant prices ",-99,617.18,722.51,794.83,854.74,743.39,807.2,912.0599999999999,931.75,946.29,1037.65,1217.03
 Burkina Faso , Africa , Life expectancy ,31.98,34.91,37.81,40.7,43.59,46.14,48.12,49.56,50.26,50.32,50.65,52.3
 Burkina Faso , Africa , Population ,,4713416,4919632,5127935,5433886,5889574,6634596,7586551,8878303,10352843,12251209,14326203
 Burundi , Africa ," Gross domestic product per capita, constant prices ",339.3,379.56,355.2,412.98,464.1,556.1,559.6,621.8200000000001,631.7,463.12,446.4,430.07
 Burundi , Africa , Life expectancy ,39.03,40.53,42.05,43.55,44.06,45.91,47.47,48.21,44.74,45.33,47.36,49.58
 Burundi , Africa , Population ,,2667518,2961915,3330989,3529983,3834415,4580410,5126023,5809236,6121610,7021078,8390505
 Cambodia , Asia ," Gross domestic product per capita, constant prices ",-99,434.04,496.91,523.43,421.62,524.97,624.48,683.9,682.3,734.29,896.23,1713.78
 Cambodia , Asia , Life expectancy ,39.42,41.37,43.42,45.42,40.32,31.22,50.96,53.91,55.8,56.53,56.75,59.72
 Cambodia , Asia , Population ,,5322536,6083619,6960067,7450606,6978607,7272485,8371791,10150094,11782962,12926707,14131858
 Cameroon , Africa ," Gross domestic product per capita, constant prices ",,1313.05,1399.61,1508.45,1684.15,1783.43,2367.98,2602.66,1793.16,1694.34,1934.01,2042.1
 Cameroon , Africa , Life expectancy ,38.52,40.43,42.64,44.8,47.05,49.36,52.96,54.99,54.31,52.2,49.86,50.43
 Cameroon , Africa , Population ,,5359923,5793633,6335506,7021028,7959865,9250831,10780667,12467171,14195809,15929988,17696293
 Canada , Americas ," Gross domestic product per capita, constant prices ",,12489.95,13462.49,16076.59,18970.57,22090.88,22898.79,26626.52,26342.88,28954.93,33328.97,36319.24
 Canada , Americas , Life expectancy ,68.75,69.95999999999999,71.3,72.13,72.88,74.20999999999999,75.76000000000001,76.86,77.95,78.61,79.77,80.65000000000001
 Canada , Americas , Population ,,17010154,18985849,20819767,22284500,23796400,25201900,26549700,28523502,30305843,31902268,33390141
 Central African Republic , Africa ," Gross domestic product per capita, constant prices ",,1190.84,1193.07,1136.06,1070.01,1109.37,956.75,844.88,747.91,740.51,738.6900000000001,706.02
 Central African Republic , Africa , Life expectancy ,35.46,37.46,39.48,41.48,43.46,46.78,48.3,50.49,49.4,46.07,43.31,44.74
 Central African Republic , Africa , Population ,,1392284,1523478,1733638,1927260,2167533,2476971,2840009,3265124,3696513,4048013,4369038
 Chad , Africa ," Gross domestic product per capita, constant prices ",,1308.5,1389.82,1196.81,1104.1,1133.98,797.91,952.39,1058.06,1004.96,1156.18,1704.06
 Chad , Africa , Life expectancy ,38.09,39.88,41.72,43.6,45.57,47.38,49.52,51.05,51.72,51.57,50.53,50.65
 Chad , Africa , Population ,,2894855,3150417,3495967,3899068,4388260,4875118,5498955,6429417,7562011,8835739,10238807
 Chile , Americas ," Gross domestic product per capita, constant prices ",,4315.62,4519.09,5106.65,5494.02,4756.76,5095.67,5547.06,7596.13,10118.05,10778.78,13171.64
 Chile , Americas , Life expectancy ,54.75,56.07,57.92,60.52,63.44,67.05,70.56999999999999,72.48999999999999,74.13,75.81999999999999,77.86,78.55
 Chile , Americas , Population ,,7048426,7961258,8858908,9717524,10599793,11487112,12463354,13572994,14599929,15497046,16284741
 China , Asia ," Gross domestic product per capita, constant prices ",400.45,575.99,487.67,612.71,676.9,741.24,962.42,1378.9,1655.78,2289.23,3119.28,4959.11
 China , Asia , Life expectancy ,44,50.55,44.5,58.38,63.12,63.97,65.53,67.27,68.69,70.43000000000001,72.03,72.95999999999999
 China , Asia , Population ,,637408000,665770000,754550000,862030000,943455000,1000281000,1084035000,1164970000,1230075000,1280400000,1318683096
 Colombia , Americas ," Gross domestic product per capita, constant prices ",,2323.81,2492.35,2678.73,3264.66,3815.81,4397.58,4903.22,5444.65,6117.36,5755.26,7006.58
 Colombia , Americas , Life expectancy ,50.64,55.12,57.86,59.96,61.62,63.84,66.65000000000001,67.77,68.42,70.31,71.68000000000001,72.89
 Colombia , Americas , Population ,,14485993,17009885,19764027,22542890,25094412,27764644,30964245,34202721,37657830,41008227,44227550
 Comoros , Africa ," Gross domestic product per capita, constant prices ",,1211.15,1406.65,1876.03,1937.58,1172.6,1267.1,1315.98,1246.91,1173.62,1075.81,986.15
 Comoros , Africa , Life expectancy ,40.72,42.46,44.47,46.47,48.94,50.94,52.93,54.93,57.94,60.66,62.97,65.15000000000001
 Comoros , Africa , Population ,,170928,191689,217378,250027,304739,348643,395114,454429,527982,614382,710960
" Congo, Dem. Rep. ", Africa ," Gross domestic product per capita, constant prices ",-99,905.86,896.3099999999999,861.59,904.9,795.76,673.75,672.77,457.72,312.19,241.17,277.55
" Congo, Dem. Rep. ", Africa , Life expectancy ,39.14,40.65,42.12,44.06,45.99,47.8,47.78,47.41,45.55,42.59,44.97,46.46
" Congo, Dem. Rep. ", Africa , Population ,,15577932,17486434,19941073,23007669,26480870,30646495,35481645,41672143,47798986,55379852,64606759
" Congo, Rep. ", Africa ," Gross domestic product per capita, constant prices ",,2315.06,2464.78,2677.94,3213.15,3259.18,4879.51,4201.19,4016.24,3484.16,3484.06,3632.56
" Congo, Rep. ", Africa , Life expectancy ,42.11,45.05,48.44,52.04,54.91,55.63,56.7,57.47,56.43,52.96,52.97,55.32
" Congo, Rep. ", Africa , Population ,,940458,1047924,1179760,1340458,1536769,1774735,2064095,2409073,2800947,3328795,3800610
 Costa Rica , Americas ," Gross domestic product per capita, constant prices ",,2990.01,3460.94,4161.73,5118.15,5926.88,5262.73,5629.92,6160.42,6677.05,7723.45,9645.059999999999
 Costa Rica , Americas , Life expectancy ,57.21,60.03,62.84,65.42,67.84999999999999,70.75,73.45,74.75,75.70999999999999,77.26000000000001,78.12,78.78
 Costa Rica , Americas , Population ,,1112300,1345187,1588717,1834796,2108457,2424367,2799811,3173216,3518107,3834934,4133884
 Cote d'Ivoire , Africa ," Gross domestic product per capita, constant prices ",,1500.9,1728.87,2052.05,2378.2,2517.74,2602.71,2156.96,1648.07,1786.27,1648.8,1544.75
 Cote d'Ivoire , Africa , Life expectancy ,40.48,42.47,44.93,47.35,49.8,52.37,53.98,54.66,52.04,47.99,46.83,48.33
 Cote d'Ivoire , Africa , Population ,,3300000,3832408,4744870,6071696,7459574,9025951,10761098,12772596,14625967,16252726,18013409
 Croatia , Europe ," Gross domestic product per capita, constant prices ",,4338.23,5477.89,6960.3,9164.09,11305.39,13221.82,13822.58,8447.790000000001,9875.6,11628.39,14619.22
 Croatia , Europe , Life expectancy ,61.21,64.77,67.13,68.5,69.61,70.64,70.45999999999999,71.52,72.53,73.68000000000001,74.88,75.75
 Croatia , Europe , Population ,,3991242,4076557,4174366,4225310,4318673,4413368,4484310,4494013,4444595,4481020,4493312
 Cuba , Americas ," Gross domestic product per capita, constant prices ",,6092.17,5180.76,5690.27,5305.45,6380.49,7316.92,7532.92,5592.84,5431.99,6340.65,8948.1
 Cuba , Americas , Life expectancy ,59.42,62.33,65.25,68.29000000000001,70.72,72.65000000000001,73.72,74.17,74.41,76.15000000000001,77.16,78.27
 Cuba , Americas , Population ,,6640752,7254373,8139332,8831348,9537988,9789224,10239839,10723260,10983007,11226999,11416987
 Czech Republic , Europe ," Gross domestic product per capita, constant prices ",,8256.34,10136.87,11399.44,13108.45,14800.16,15377.23,16310.44,14297.02,16048.51,17596.21,22833.31
 Czech Republic , Europe , Life expectancy ,66.87,69.03,69.90000000000001,70.38,70.29000000000001,70.70999999999999,70.95999999999999,71.58,72.40000000000001,74.01000000000001,75.51000000000001,76.48999999999999
 Czech Republic , Europe , Population ,,9513758,9620282,9835109,9862158,10161915,10303704,10311597,10315702,10300707,10256295,10228744
 Denmark , Europe ," Gross domestic product per capita, constant prices ",,11099.66,13583.31,15937.21,18866.21,20422.9,21688.04,25116.18,26406.74,29804.35,32166.5,35278.42
 Denmark , Europe , Life expectancy ,70.78,71.81,72.34999999999999,72.95999999999999,73.47,74.69,74.63,74.8,75.33,76.11,77.18000000000001,78.33
 Denmark , Europe , Population ,,4487831,4646899,4838800,4991596,5088419,5117810,5127024,5171393,5283663,5374693,5468120
 Djibouti , Africa ," Gross domestic product per capita, constant prices ",,2864.97,3020.99,3020.05,3694.21,3081.76,2879.47,2880.1,2377.16,1895.02,1908.26,2082.48
 Djibouti , Africa , Life expectancy ,34.81,37.33,39.69,42.07,44.37,46.52,48.81,50.04,51.6,53.16,53.37,54.79
 Djibouti , Africa , Population ,,71851,89898,127617,178848,228694,305991,311025,384156,417908,447416,496374
 Dominican Republic , Americas ," Gross domestic product per capita, constant prices ",,1544.4,1662.14,1653.72,2189.87,2681.99,2861.09,2899.84,3044.21,3614.1,4563.81,6025.37
 Dominican Republic , Americas , Life expectancy ,45.93,49.83,53.46,56.75,59.63,61.79,63.73,66.05,68.45999999999999,69.95999999999999,70.84999999999999,72.23999999999999
 Dominican Republic , Americas , Population ,,2923186,3453434,4049146,4671329,5302800,5968349,6655297,7351181,7992357,8650322,9319622
 Ecuador , Americas ," Gross domestic product per capita, constant prices ",,3780.55,4086.11,4579.07,5280.99,6679.62,7213.79,6481.78,7103.7,7429.46,5773.04,6873.26
 Ecuador , Americas , Life expectancy ,48.36,51.36,54.64,56.68,58.8,61.31,64.34,67.23,69.61,72.31,74.17,74.98999999999999
 Ecuador , Americas , Population ,,4058385,4681707,5432424,6298651,7278866,8365850,9545158,10748394,11911819,12921234,13755680
 Egypt , Africa ," Gross domestic product per capita, constant prices ",,1458.92,1693.34,1814.88,2024.01,2785.49,3503.73,3885.46,3794.76,4173.18,4754.6,5581.18
 Egypt , Africa , Life expectancy ,41.89,44.44,46.99,49.29,51.14,53.32,56.01,59.8,63.67,67.22,69.81,71.34
 Egypt , Africa , Population ,,25009741,28173309,31681188,34807417,38783863,45681811,52799062,59402198,66134291,73312559,80264543
 El Salvador , Americas ," Gross domestic product per capita, constant prices ",,3421.52,3776.8,4358.6,4520.25,5138.92,4098.34,4140.44,4444.23,5154.83,5351.57,5728.35
 El Salvador , Americas , Life expectancy ,45.26,48.57,52.31,55.86,58.21,56.7,56.6,63.15,66.8,69.54000000000001,70.73,71.88
 El Salvador , Americas , Population ,,2355805,2747687,3232927,3790903,4282586,4474873,4842194,5274649,5783439,6353681,6939688
 Equatorial Guinea , Africa ," Gross domestic product per capita, constant prices ",375.64,426.1,582.84,915.6,672.41,958.5700000000001,927.83,966.9,1132.06,2814.48,7703.5,12154.09
 Equatorial Guinea , Africa , Life expectancy ,34.48,35.98,37.49,38.99,40.52,42.02,43.66,45.66,47.55,48.25,49.35,51.58
 Equatorial Guinea , Africa , Population ,,232922,249220,259864,277603,192675,285483,341244,387838,439971,495627,551201
 Eritrea , Africa ," Gross domestic product per capita, constant prices ",328.94,344.16,381,468.79,514.3200000000001,505.75,524.88,521.13,582.86,913.47,765.35,641.37
 Eritrea , Africa , Life expectancy ,35.93,38.05,40.16,42.19,44.14,44.54,43.89,46.45,49.99,53.38,55.24,58.04
 Eritrea , Africa , Population ,,1542611,1666618,1820319,2260187,2512642,2637297,2915959,3668440,4058319,4414865,4906585
 Ethiopia , Africa ," Gross domestic product per capita, constant prices ",362.15,378.9,419.46,516.12,566.24,556.8099999999999,577.86,573.74,421.35,515.89,530.05,690.8099999999999
 Ethiopia , Africa , Life expectancy ,34.08,36.67,40.06,42.12,43.52,44.51,44.92,46.68,48.09,49.4,50.73,52.95
 Ethiopia , Africa , Population ,,22815614,25145372,27860297,30770372,34617799,38111756,42999530,52088559,59861301,67946797,76511887
 Finland , Europe ," Gross domestic product per capita, constant prices ",,7545.42,9371.84,10921.64,14358.88,15605.42,18533.16,21141.01,20647.16,23723.95,28204.59,33207.08
 Finland , Europe , Life expectancy ,66.55,67.48999999999999,68.75,69.83,70.87,72.52,74.55,74.83,75.7,77.13,78.37,79.31
 Finland , Europe , Population ,,4324000,4491443,4605744,4639657,4738902,4826933,4931729,5041039,5134406,5193039,5238460
 France , Europe ," Gross domestic product per capita, constant prices ",,8662.83,10560.49,12999.92,16107.19,18292.64,20293.9,22066.44,24703.8,25889.78,28926.03,30470.02
 France , Europe , Life expectancy ,67.41,68.93000000000001,70.51000000000001,71.55,72.38,73.83,74.89,76.34,77.45999999999999,78.64,79.59,80.66
 France , Europe , Population ,,44310863,47124000,49569000,51732000,53165019,54433565,55630100,57374179,58623428,59925035,61083916
 Gabon , Africa ," Gross domestic product per capita, constant prices ",,4976.2,6631.46,8358.76,11401.95,21745.57,15113.36,11864.41,13522.16,14722.84,12521.71,13206.48
 Gabon , Africa , Life expectancy ,37,39,40.49,44.6,48.69,52.79,56.56,60.19,61.37,60.46,56.76,56.74
 Gabon , Africa , Population ,,434904,455661,489004,537977,706367,753874,880397,985739,1126189,1299304,1454867
 Gambia , Africa ," Gross domestic product per capita, constant prices ",485.23,520.93,599.65,734.78,756.09,884.76,835.8099999999999,611.66,665.62,653.73,660.59,752.75
 Gambia , Africa , Life expectancy ,30,32.07,33.9,35.86,38.31,41.84,45.58,49.27,52.64,55.86,58.04,59.45
 Gambia , Africa , Population ,,323150,374020,439593,517101,608274,715523,848406,1025384,1235767,1457766,1688359
 Germany , Europe ," Gross domestic product per capita, constant prices ",,10187.83,12902.46,14745.63,18016.18,20512.92,22031.53,24639.19,26505.3,27788.88,30035.8,32170.37
 Germany , Europe , Life expectancy ,67.5,69.09999999999999,70.3,70.8,71,72.5,73.8,74.84999999999999,76.06999999999999,77.34,78.67,79.41
 Germany , Europe , Population ,,71019069,73739117,76368453,78717088,78160773,78335266,77718298,80597764,82011073,82350671,82400996
 Ghana , Africa ," Gross domestic product per capita, constant prices ",911.3,1043.56,1190.04,1125.7,1178.22,993.22,876.03,847.01,925.0599999999999,1005.25,1111.98,1327.61
 Ghana , Africa , Life expectancy ,43.15,44.78,46.45,48.07,49.88,51.76,53.74,55.73,57.5,58.56,58.45,60.02
 Ghana , Africa , Population ,,6391288,7355248,8490213,9354120,10538093,11400338,14168101,16278738,18418288,20550751,22873338
 Greece , Europe ," Gross domestic product per capita, constant prices ",,4916.3,6017.19,8513.1,12724.83,14195.52,15268.42,16120.53,17541.5,18747.7,22514.25,27538.41
 Greece , Europe , Life expectancy ,65.86,67.86,69.51000000000001,71,72.34,73.68000000000001,75.23999999999999,76.67,77.03,77.87,78.26000000000001,79.48
 Greece , Europe , Life expectancy ,65.86,67.86,69.51000000000001,71,72.34,73.68000000000001,75.23999999999999,76.67,77.03,77.87,78.26000000000001,79.48
 Greece , Europe , Population ,,8096218,8448233,8716441,8888628,9308479,9786480,9974490,10325429,10502372,10603863,10706290
 Guatemala , Americas ," Gross domestic product per capita, constant prices ",,2617.16,2750.36,3242.53,4031.41,4879.99,4820.49,4246.49,4439.45,4684.31,4858.35,5186.05
 Guatemala , Americas , Life expectancy ,42.02,44.14,46.95,50.02,53.74,56.03,58.14,60.78,63.37,66.31999999999999,68.98,70.26000000000001
 Guatemala , Americas , Population ,,3640876,4208858,4690773,5149581,5703430,6395630,7326406,8486949,9803875,11178650,12572928
 Guinea , Africa ," Gross domestic product per capita, constant prices ",510.2,576.27,686.37,708.76,741.67,874.6900000000001,857.25,805.5700000000001,794.35,869.45,945.58,942.65
 Guinea , Africa , Life expectancy ,33.61,34.56,35.75,37.2,38.84,40.76,42.89,45.55,48.58,51.46,53.68,56.01
 Guinea , Africa , Population ,,2876726,3140003,3451418,3811387,4227026,4710497,5650262,6990574,8048834,8807818,9947814
 Guinea-Bissau , Africa ," Gross domestic product per capita, constant prices ",299.85,431.79,522.03,715.58,820.22,764.73,838.12,736.42,745.54,796.66,575.7,579.23
 Guinea-Bissau , Africa , Life expectancy ,32.5,33.49,34.49,35.49,36.49,37.47,39.33,41.25,43.27,44.87,45.5,46.39
 Guinea-Bissau , Africa , Population ,,601095,627820,601287,625361,745228,825987,927524,1050938,1193708,1332459,1472041
 Haiti , Americas ," Gross domestic product per capita, constant prices ",,1726.89,1796.59,1452.06,1654.46,1874.3,2011.16,1823.02,1456.31,1341.73,1270.36,1201.64
 Haiti , Americas , Life expectancy ,37.58,40.7,43.59,46.24,48.04,49.92,51.46,53.64,55.09,56.67,58.14,60.92
 Haiti , Americas , Population ,,3507701,3880130,4318137,4698301,4908554,5198399,5756203,6326682,6913545,7607651,8502814
 Honduras , Americas ," Gross domestic product per capita, constant prices ",,2220.49,2291.16,2538.27,2529.84,3203.21,3121.76,3023.1,3081.69,3160.45,3099.73,3548.33
 Honduras , Americas , Life expectancy ,41.91,44.67,48.04,50.92,53.88,57.4,60.91,64.48999999999999,66.40000000000001,67.66,68.56999999999999,70.2
 Honduras , Americas , Population ,,1770390,2090162,2500689,2965146,3055235,3669448,4372203,5077347,5867957,6677328,7483763
" Hong Kong, China ", Asia ," Gross domestic product per capita, constant prices ",,3629.08,4692.65,6197.96,8315.93,11186.14,14560.53,20038.47,24757.6,28377.63,30209.02,39724.98
" Hong Kong, China ", Asia , Life expectancy ,60.96,64.75,67.65000000000001,70,72,73.59999999999999,75.45,76.2,77.59999999999999,80,81.5,82.20999999999999
" Hong Kong, China ", Asia , Population ,,2736300,3305200,3722800,4115700,4583700,5264500,5584510,5829696,6495918,6762476,6980412
 Hungary , Europe ," Gross domestic product per capita, constant prices ",,6040.18,7550.36,9326.639999999999,10168.66,11674.84,12545.99,12986.48,10535.63,11712.78,14843.94,18008.94
 Hungary , Europe , Life expectancy ,64.03,66.41,67.95999999999999,69.5,69.76000000000001,69.95,69.39,69.58,69.17,71.04000000000001,72.59,73.34
 Hungary , Europe , Population ,,9839000,10063000,10223422,10394091,10637171,10705535,10612740,10348684,10244684,10083313,9956108
 Iceland , Europe ," Gross domestic product per capita, constant prices ",,9244,10350.16,13319.9,15798.06,19654.96,23269.61,26923.21,25144.39,28061.1,31163.2,36180.79
 Iceland , Europe , Life expectancy ,72.48999999999999,73.47,73.68000000000001,73.73,74.45999999999999,76.11,76.98999999999999,77.23,78.77,78.95,80.5,81.76000000000001
 Iceland , Europe , Population ,,165110,182053,198676,209275,221823,233997,244676,259012,271192,288030,301931
 India , Asia ," Gross domestic product per capita, constant prices ",546.5700000000001,590.0599999999999,658.35,700.77,724.03,813.34,855.72,976.51,1164.41,1458.82,1746.77,2452.21
 India , Asia , Life expectancy ,37.37,40.25,43.61,47.19,50.65,54.21,56.6,58.55,60.22,61.77,62.88,64.7
 India , Asia , Population ,,409000000,454000000,506000000,567000000,634000000,708000000,788000000,872000000,959000000,1034172547,1110396331
 Indonesia , Asia ," Gross domestic product per capita, constant prices ",749.68,858.9,849.29,762.43,1111.11,1382.7,1516.87,1748.36,2383.14,3119.34,2873.91,3540.65
 Indonesia , Asia , Life expectancy ,37.47,39.92,42.52,45.96,49.2,52.7,56.16,60.14,62.68,66.04000000000001,68.59,70.65000000000001
 Indonesia , Asia , Population ,,90124000,99028000,109343000,121282000,136725000,153343000,169276000,184816000,199278000,211060000,223547000
 Iran , Asia ," Gross domestic product per capita, constant prices ",,3290.26,4187.33,5906.73,9613.82,11888.6,7608.33,6642.88,7235.65,8263.59,9240.76,11605.71
 Iran , Asia , Life expectancy ,44.87,47.18,49.33,52.47,55.23,57.7,59.62,63.04,65.73999999999999,68.04000000000001,69.45,70.95999999999999
 Iran , Asia , Population ,,19792000,22874000,26538000,30614000,35480679,43072751,51889696,60397973,63327987,66907826,69453570
 Iraq , Asia ," Gross domestic product per capita, constant prices ",,6229.33,8341.74,8931.459999999999,9576.040000000001,14688.24,14517.91,11643.57,3745.64,3076.24,4390.72,4471.06
 Iraq , Asia , Life expectancy ,45.32,48.44,51.46,54.46,56.95,60.41,62.04,65.04000000000001,59.46,58.81,57.05,59.55
 Iraq , Asia , Population ,,6248643,7240260,8519282,10061506,11882916,14173318,16543189,17861905,20775703,24001816,27499638
 Ireland , Europe ," Gross domestic product per capita, constant prices ",,5599.08,6631.6,7655.57,9530.77,11150.98,12618.32,13872.87,17558.82,24521.95,34077.05,40676
 Ireland , Europe , Life expectancy ,66.91,68.90000000000001,70.29000000000001,71.08,71.28,72.03,73.09999999999999,74.36,75.47,76.12,77.78,78.89
 Ireland , Europe , Population ,,2878220,2830000,2900100,3024400,3271900,3480000,3539900,3557761,3667233,3879155,4109086
 Israel , Asia ," Gross domestic product per capita, constant prices ",,5385.28,7105.63,8393.74,12786.93,13306.62,15367.03,17122.48,18051.52,20896.61,21905.6,25523.28
