country,subjectdescriptor,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,nmiss
Malta,Unemployment rate,,,,12.5,12.5,12.2,11,8.1999998,6.1999998,4.6360002,4.8000002,4.4000001,4.9000001,5.4000001,5.4000001,4.9000001,5.1999998,6.1999998,6.5999999,7.0999999,6.7579999,7.6170001,7.4330001,7.717,7.217,6.9419999,6.8169999,6.467,5.9749999,6.8829999,6.8670001,6.3920002,6.308,6.383,5.867,3
Malta,Population,.315,.31799999,.31999999,.33199999,.329,.33199999,.34099999,.34299999,.34599999,.34900001,.352,.35600001,.36000001,.36300001,.366,.36899999,.37099999,.37400001,.377,.37900001,.38,.391,.39500001,.39700001,.40000001,.403,.405,.40599999,.40799999,.41100001,.414,.41499999,0.418,0.421,0.425,0
Netherlands,GDP_PC,22513,22244.82,21858.24,22158.84,22759.779,23254.689,23849.779,24137.061,25081.57,26033.4,26935.391,27376.58,27634.68,27787.77,28437.43,29023.221,29919.641,31043.5,32251.859,33655.012,34832.539,35307.621,35118.398,35053.5,35639.301,36322.922,37541.66,38843.488,39353.34,37676.23,38008.551,38460.309,"$37,913.10","$37,615.81","$37,861.60",0
Netherlands,Unemployment rate,3.3540001,4.5830002,6.5250001,8.2539997,8.0900002,7.3270001,6.52,6.3369999,6.2470002,5.6739998,5.112,4.7989998,4.8649998,5.5300002,6.1929998,7.0640001,6.4400001,5.46,4.3039999,3.5380001,3.0599999,3.1370001,3.665,4.8299999,5.664,5.8870001,5.0139999,4.165,3.665,4.3579998,4.993,4.98,5.833,7.259,7.395,0
Netherlands,Population,14.15,14.247,14.313,14.367,14.424,14.492,14.572,14.665,14.76,14.849,14.952,15.07,15.184,15.29,15.383,15.459,15.53,15.611,15.707,15.812,15.926,16.046,16.149,16.225,16.282,16.32,16.346001,16.382,16.445999,16.530001,16.615,16.693001,16.755,16.804,16.864,0
Portugal,GDP_PC,8774.1504,9037.8398,9172.9902,9209.7598,9080.9297,9191.9805,9483.8799,10203.41,10758.6,11486.74,12411.86,12863,13272.45,13168.97,13343.67,13614.78,14038.08,14594.03,15216.28,15718.8,16199.85,16398.631,16434.471,16219.91,16474.211,16569.869,16796.83,17181.6,17191.061,16663.311,16971.83,16686.24,"$16,079.25","$15,908.21","$16,147.70",0
Portugal,Unemployment rate,7.8239999,8.29,7.4569998,7.9450002,10.503,8.6739998,8.6029997,7.1259999,7.0689998,5.059,4.2249999,4.138,3.8599999,5.1269999,6.3400002,7.151,7.2509999,6.7410002,4.9369998,4.381,3.925,4.0089998,4.9949999,6.2639999,6.6230001,7.5819998,7.6469998,7.9640002,7.552,9.4320002,10.77,12.677,15.526,16.183,13.894,0
Portugal,Population,9.7779999,9.8280001,9.8920002,9.948,9.9840002,10.025,10.039,10.043,10.034,10.023,10.005,9.9790001,9.974,9.9829998,9.9989996,10.026,10.064,10.109,10.16,10.218,10.29,10.363,10.42,10.459,10.484,10.503,10.522,10.543,10.558,10.568,10.573,10.558,10.515,10.457,10.394,0
Slovak Republic,GDP_PC,,,,,,,,,,,,,,5871.9302,6201.3701,6652.3398,7099.3398,7455.3501,7740.5801,7709.5601,7791.3599,8047.9902,8418.8398,8866.2197,9365.1396,9959.0801,10762.04,11906.7,12544.98,11851.35,12395.24,12799.64,"$12,976.17","$13,145.23","$13,445.83",13
Slovak Republic,Unemployment rate,,,,,,,,,,,,,,12.7,14.6,13.7,12.6,11.882,12.7,16.483,18.875,19.450001,18.816999,17.700001,18.333,16.358,13.458,11.233,9.5830002,12.117,14.483,13.692,13.975,14.258,13.217,13
Slovak Republic,Population,,,,,,,,,,,,,,5.3080001,5.3379998,5.368,5.3790002,5.3499999,5.3579998,5.369,5.3769999,5.3790002,5.3839998,5.3889999,5.3699999,5.3790002,5.3889999,5.3909998,5.3959999,5.4089999,5.4219999,5.3920002,5.404,5.411,5.417,13
Slovenia,GDP_PC,,,,,,,,,,,,,10033.29,10366.04,10915.44,11361.46,11790.1,12405.97,12856.27,13534.37,14029.95,14426.81,14950.71,15367.87,16025.38,16657.221,17548.689,18701.32,19319.551,17619.5,17710.221,17797.289,"$17,268.83","$17,058.55","$17,559.25",12
Slovenia,Unemployment rate,,,,,,,,,,,,,7.836,8.5909996,8.4969997,7,6.8920002,6.9169998,7.3670001,7.3499999,6.7420001,6.1919999,6.342,6.6999998,6.342,6.5419998,5.9920001,4.8579998,4.3920002,5.8920002,7.2670002,8.2080002,8.892,10.142,9.733,12
Slovenia,Population,,,,,,,,,,,,,2,1.99,1.99,1.99,1.987,1.985,1.978,1.978,1.988,1.99,1.994,1.995,1.9960001,1.998,2.003,2.01,2.01,2.0320001,2.0469999,2.05,2.055,2.059,2.061,12
Spain,GDP_PC,13036.3,12861,12950.98,13103.51,13273.1,13538.84,13963.11,14725.86,15471.19,16213.09,16807.279,17186.131,17275.23,16995.369,17345.42,18018.211,18411.869,19073.199,19855.971,20691.32,21554.93,22166.311,22418.18,22708.881,23066.311,23483.57,24079.631,24503.689,24374.68,23308.33,23214.811,22985.109,"$22,490.14","$22,296.48","$22,669.05",0
Spain,Unemployment rate,11.011,13.755,15.77,17.215,19.937,21.305,20.907,20.223,19.238001,17.24,16.238001,16.313,18.353001,22.639999,24.118,22.9,22.08,20.610001,18.605,15.64,13.857,10.54,11.475,11.5,10.95,9.1499996,8.4499998,8.2250004,11.25,17.875,19.85,21.4,24.8,26.1,24.45,0
Spain,Population,37.387001,37.742001,37.944,38.122002,38.273998,38.409,38.52,38.610001,38.692001,38.769001,38.837002,38.939999,39.069,39.189999,39.296001,39.388,39.479,39.583,39.722,39.926998,40.264,40.721001,41.424,42.195999,42.859001,43.662998,44.361,45.236,45.983002,46.368,46.562,46.736,46.766,46.593,46.464,0
