country,subjectdescriptor,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40
Ireland,GDP_PC,14074.06,14249.98,14310.84,14109.15,14458.12,14693.89,14753.67,15265.39,15793.41,16780.84,18093.82,18287.03,18788.14,19117.49,20177.62,22018.72,23895.09,26289.06,28332.21,31058.37,33802.61,35237.84,36662.92,37471.8,38490.8,40051.77,41581.89,42453.49,40523.29,37831.05,37803.42,38611.4,"$38,581.19","$39,068.97","$40,953.19"
Ireland,Unemployment rate,,,,,,17.7,18.1,18.8,18.4,17.9,17.2,19,16.3,16.7,15.1,14.1,11.8,10.1,7.383,5.556,4.252,3.93,4.448,4.58,4.489,4.389,4.499,4.674,6.4,12.009,13.853,14.625,14.672,13.045,11.263
Ireland,Population,3.401,3.443,3.48,3.504,3.529,3.54,3.541,3.547,3.531,3.51,3.506,3.526,3.555,3.574,3.586,3.601,3.626,3.664,3.703,3.742,3.79,3.847,3.917,3.98,4.045,4.134,4.233,4.376,4.485,4.533,4.555,4.575,4.585,4.593,4.61
Italy,GDP_PC,18588.99,18715.78,18778.32,18984.77,19596.48,20136.56,20708.96,21371.27,22261.77,22999.92,23453.3,23792.16,23963.87,23730.84,24232.46,24797.83,25117.04,25563.7,25964.31,26367.45,27338.8,27805.32,27861.93,27834.6,28095.62,28176.74,28648.3,28990.97,28476.73,26757.19,27127.73,27206.7,"$26,439.82","$25,864.06","$25,288.87"
Italy,Unemployment rate,7.37,7.649,8.288,7.367,7.833,8.167,8.867000000000001,9.617000000000001,9.683,9.667,8.858000000000001,8.532999999999999,8.808,9.833,10.633,11.15,11.15,11.242,11.333,10.942,10.1,9.1,8.608000000000001,8.449999999999999,7.958,7.717,6.783,6.108,6.75,7.758,8.35,8.358000000000001,10.617,12.158,12.667
Italy,Population,56.388,56.479,56.524,56.563,56.565,56.588,56.598,56.594,56.609,56.649,56.694,56.744,56.773,56.821,56.842,56.844,56.844,56.876,56.904,56.909,56.924,56.961,56.988,57.131,57.496,57.875,58.064,58.224,58.653,59.001,59.19,59.365,59.394,59.685,60.783
Latvia,GDP_PC,,,,,,,,,,,,,4052.6,3601.41,3738.38,3846.06,3992.55,4386.94,4708.93,4853.82,5151.1,5586.01,6071.27,6657.12,7323.49,8164.5,9202.709999999999,10191.04,9944.1,8647.780000000001,8566.950000000001,9194.059999999999,"$9,778.96","$10,222.92","$10,495.84"
Latvia,Unemployment rate,,,,,,,,,,,,,3.178,6.951,6.951,6.951,20.711,15.167,13.975,14.05,14.325,13.45,12.475,11.65,11.75,10.05,7.05,6.075,7.725,17.525,19.5,16.203,15.048,11.862,10.843
Latvia,Population,,,,,,,,,,,,,2.677,2.669,2.627,2.501,2.47,2.445,2.421,2.399,2.382,2.353,2.321,2.299,2.277,2.25,2.228,2.209,2.192,2.163,2.121,2.075,2.045,2.039,2.033
Lithuania,GDP_PC,,,,,,,,,,,,,,,,,,,,5109.42,5331.82,5718.78,6131.31,6790.53,7330.19,7950.81,8677.030000000001,9754.24,10114.08,8711.959999999999,9040.6,9812.549999999999,"$10,326.76","$10,771.57","$11,185.08"
Lithuania,Unemployment rate,,,,,,,,,,,,,,,,,,,,14.6,16.375,17.362,13.764,12.419,10.886,8.324,5.778,4.248,5.827,13.787,17.814,15.39,13.366,11.77,10.699
Lithuania,Population,,,,,,,,,,,,,,,,,,,,3.429,3.405,3.388,3.376,3.361,3.343,3.323,3.27,3.231,3.198,3.163,3.097,3.028,2.988,2.958,2.932
Luxembourg,GDP_PC,30879,31031.68,31328.52,31919.54,33401.78,35203.59,38539.3,39802.64,42801.86,46535.08,48458.88,51940.74,52171.48,53598.22,54846.99,55372.01,55405.3,57948.64,60950.63,65263.52,69760.84,70305.8,72104.94,72419.59,74507.21000000001,75858.25,78397.14,83712.10000000001,81702.77,75789.25999999999,78720.37,79144.22,"$76,704.33","$78,297.77","$80,763.51"
Luxembourg,Unemployment rate,.723,1.015,1.33,1.615,1.748,1.667,1.458,1.669,1.536,1.402,1.256,1.38,1.634,2.105,2.732,2.961,3.241,3.302,3.057,2.89,2.408,2.225,2.5,3.317,3.717,4.125,4.242,4.2,4.175,5.5,5.867,5.7,6.134,6.877,7.152
Luxembourg,Population,.364,.365,.366,.366,.366,.367,.368,.371,.374,.378,.382,.387,.392,.398,.404,.406,.412,.417,.422,.427,.434,.44,.444,.448,.455,.461,.469,.476,.484,.494,.502,.512,0.525,0.537,0.55
Malta,GDP_PC,,,,,,,,,,,,,,,,,,,,,14183.29,13880.92,14145.01,14390.53,14378.03,14835.55,15037.07,15592.83,16014.19,15499.87,15929.64,16226.45,"$16,525.60","$16,761.76","$17,184.94"
Malta,Unemployment rate,,,,12.5,12.5,12.2,11,8.199999999999999,6.2,4.636,4.8,4.4,4.9,5.4,5.4,4.9,5.2,6.2,6.6,7.1,6.758,7.617,7.433,7.717,7.217,6.942,6.817,6.467,5.975,6.883,6.867,6.392,6.308,6.383,5.867
Malta,Population,.315,.318,.32,.332,.329,.332,.341,.343,.346,.349,.352,.356,.36,.363,.366,.369,.371,.374,.377,.379,.38,.391,.395,.397,.4,.403,.405,.406,.408,.411,.414,.415,0.418,0.421,0.425
Netherlands,GDP_PC,22513,22244.82,21858.24,22158.84,22759.78,23254.69,23849.78,24137.06,25081.57,26033.4,26935.39,27376.58,27634.68,27787.77,28437.43,29023.22,29919.64,31043.5,32251.86,33655.01,34832.54,35307.62,35118.4,35053.5,35639.3,36322.92,37541.66,38843.49,39353.34,37676.23,38008.55,38460.31,"$37,913.10","$37,615.81","$37,861.60"
Netherlands,Unemployment rate,3.354,4.583,6.525,8.254,8.09,7.327,6.52,6.337,6.247,5.674,5.112,4.799,4.865,5.53,6.193,7.064,6.44,5.46,4.304,3.538,3.06,3.137,3.665,4.83,5.664,5.887,5.014,4.165,3.665,4.358,4.993,4.98,5.833,7.259,7.395
Netherlands,Population,14.15,14.247,14.313,14.367,14.424,14.492,14.572,14.665,14.76,14.849,14.952,15.07,15.184,15.29,15.383,15.459,15.53,15.611,15.707,15.812,15.926,16.046,16.149,16.225,16.282,16.32,16.346,16.382,16.446,16.53,16.615,16.693,16.755,16.804,16.864
Portugal,GDP_PC,8774.15,9037.84,9172.99,9209.76,9080.93,9191.98,9483.879999999999,10203.41,10758.6,11486.74,12411.86,12863,13272.45,13168.97,13343.67,13614.78,14038.08,14594.03,15216.28,15718.8,16199.85,16398.63,16434.47,16219.91,16474.21,16569.87,16796.83,17181.6,17191.06,16663.31,16971.83,16686.24,"$16,079.25","$15,908.21","$16,147.70"
Portugal,Unemployment rate,7.824,8.289999999999999,7.457,7.945,10.503,8.673999999999999,8.603,7.126,7.069,5.059,4.225,4.138,3.86,5.127,6.34,7.151,7.251,6.741,4.937,4.381,3.925,4.009,4.995,6.264,6.623,7.582,7.647,7.964,7.552,9.432,10.77,12.677,15.526,16.183,13.894
Portugal,Population,9.778,9.827999999999999,9.891999999999999,9.948,9.984,10.025,10.039,10.043,10.034,10.023,10.005,9.978999999999999,9.974,9.983000000000001,9.999000000000001,10.026,10.064,10.109,10.16,10.218,10.29,10.363,10.42,10.459,10.484,10.503,10.522,10.543,10.558,10.568,10.573,10.558,10.515,10.457,10.394
Slovak Republic,GDP_PC,,,,,,,,,,,,,,5871.93,6201.37,6652.34,7099.34,7455.35,7740.58,7709.56,7791.36,8047.99,8418.84,8866.219999999999,9365.139999999999,9959.08,10762.04,11906.7,12544.98,11851.35,12395.24,12799.64,"$12,976.17","$13,145.23","$13,445.83"
Slovak Republic,Unemployment rate,,,,,,,,,,,,,,12.7,14.6,13.7,12.6,11.882,12.7,16.483,18.875,19.45,18.817,17.7,18.333,16.358,13.458,11.233,9.583,12.117,14.483,13.692,13.975,14.258,13.217
Slovak Republic,Population,,,,,,,,,,,,,,5.308,5.338,5.368,5.379,5.35,5.358,5.369,5.377,5.379,5.384,5.389,5.37,5.379,5.389,5.391,5.396,5.409,5.422,5.392,5.404,5.411,5.417
Slovenia,GDP_PC,,,,,,,,,,,,,10033.29,10366.04,10915.44,11361.46,11790.1,12405.97,12856.27,13534.37,14029.95,14426.81,14950.71,15367.87,16025.38,16657.22,17548.69,18701.32,19319.55,17619.5,17710.22,17797.29,"$17,268.83","$17,058.55","$17,559.25"
Slovenia,Unemployment rate,,,,,,,,,,,,,7.836,8.590999999999999,8.497,7,6.892,6.917,7.367,7.35,6.742,6.192,6.342,6.7,6.342,6.542,5.992,4.858,4.392,5.892,7.267,8.208,8.892,10.142,9.733
Slovenia,Population,,,,,,,,,,,,,2,1.99,1.99,1.99,1.987,1.985,1.978,1.978,1.988,1.99,1.994,1.995,1.996,1.998,2.003,2.01,2.01,2.032,2.047,2.05,2.055,2.059,2.061
Spain,GDP_PC,13036.3,12861,12950.98,13103.51,13273.1,13538.84,13963.11,14725.86,15471.19,16213.09,16807.28,17186.13,17275.23,16995.37,17345.42,18018.21,18411.87,19073.2,19855.97,20691.32,21554.93,22166.31,22418.18,22708.88,23066.31,23483.57,24079.63,24503.69,24374.68,23308.33,23214.81,22985.11,"$22,490.14","$22,296.48","$22,669.05"
Spain,Unemployment rate,11.011,13.755,15.77,17.215,19.937,21.305,20.907,20.223,19.238,17.24,16.238,16.313,18.353,22.64,24.118,22.9,22.08,20.61,18.605,15.64,13.857,10.54,11.475,11.5,10.95,9.15,8.449999999999999,8.225,11.25,17.875,19.85,21.4,24.8,26.1,24.45
Spain,Population,37.387,37.742,37.944,38.122,38.274,38.409,38.52,38.61,38.692,38.769,38.837,38.94,39.069,39.19,39.296,39.388,39.479,39.583,39.722,39.927,40.264,40.721,41.424,42.196,42.859,43.663,44.361,45.236,45.983,46.368,46.562,46.736,46.766,46.593,46.464
